fold,target,train_rows,test_rows,train_date_max,test_date_min,test_date_max,mae,rmse
0,strikeouts,2276,2276,2023-06-11,2023-06-11,2023-08-26,1.8307937458489174,2.310487652978874
0,walks,2276,2276,2023-06-11,2023-06-11,2023-08-26,1.0072932861542683,1.2815895828734367
0,hits_allowed,2276,2276,2023-06-11,2023-06-11,2023-08-26,1.8455786883933798,2.275046395261763
1,strikeouts,4552,2276,2023-08-26,2023-08-26,2024-05-04,1.7607948491169747,2.2159408230875077
1,walks,4552,2276,2023-08-26,2023-08-26,2024-05-04,1.0738652780843154,1.329673122434417
1,hits_allowed,4552,2276,2023-08-26,2023-08-26,2024-05-04,1.6936639556256727,2.1131843794777554
2,strikeouts,6828,2276,2024-05-04,2024-05-04,2024-07-20,1.77466139480377,2.2096308918136116
2,walks,6828,2276,2024-05-04,2024-05-04,2024-07-20,0.9818265122751519,1.2157549963970589
2,hits_allowed,6828,2276,2024-05-04,2024-05-04,2024-07-20,1.7553560347000496,2.188782081301613
3,strikeouts,9104,2276,2024-07-20,2024-07-20,2024-09-30,1.7834890560200065,2.223268275561835
3,walks,9104,2276,2024-07-20,2024-07-20,2024-09-30,0.9502900699901184,1.1748867159060299
3,hits_allowed,9104,2276,2024-07-20,2024-07-20,2024-09-30,1.7729941193607555,2.2041488446085027
