fold,target,train_rows,test_rows,train_date_max,test_date_min,test_date_max,mae,rmse
0,strikeouts,4156,4156,2022-07-29,2022-07-29,2023-05-07,1.90230482246063,2.3901224558049807
0,walks,4156,4156,2022-07-29,2022-07-29,2023-05-07,1.0047447347688367,1.250220202316285
0,hits_allowed,4156,4156,2022-07-29,2022-07-29,2023-05-07,1.756659151331305,2.1977569765471676
1,strikeouts,8312,4156,2023-05-07,2023-05-07,2023-08-29,1.7457244892060415,2.1863674017564283
1,walks,8312,4156,2023-05-07,2023-05-07,2023-08-29,0.9860991601921564,1.2364157609557929
1,hits_allowed,8312,4156,2023-05-07,2023-05-07,2023-08-29,1.7084196569757186,2.115368044507763
2,strikeouts,12468,4156,2023-08-29,2023-08-30,2024-06-08,1.723913073097175,2.1643419690376864
2,walks,12468,4156,2023-08-29,2023-08-30,2024-06-08,1.0232465833026745,1.2731311831722616
2,hits_allowed,12468,4156,2023-08-29,2023-08-30,2024-06-08,1.6816330570236282,2.096743510225446
3,strikeouts,16624,4156,2024-06-08,2024-06-08,2024-09-30,1.7143735507010165,2.131751673805316
3,walks,16624,4156,2024-06-08,2024-06-08,2024-09-30,0.9154149494455016,1.1409849630458184
3,hits_allowed,16624,4156,2024-06-08,2024-06-08,2024-09-30,1.702817964927454,2.1139748790386195
