section,n,mean_sharp_clv_pp,positive_sharp_clv_pct
ALL_MATCHED,918.0,-2.381431101095705,14.596949891067537
YEAR_2025,682.0,-2.552959701774585,12.609970674486803
YEAR_2026,236.0,-1.885742517777924,20.33898305084746
SIDE_over,616.0,-2.561983144957965,12.337662337662337
SIDE_under,302.0,-2.013152759972684,19.205298013245034
YEAR_2025_SIDE_over,529.0,-2.565388555884356,12.098298676748582
YEAR_2025_SIDE_under,153.0,-2.5099867356042034,14.37908496732026
YEAR_2026_SIDE_over,87.0,-2.54127668081934,13.793103448275861
YEAR_2026_SIDE_under,149.0,-1.5029809594919963,24.161073825503358
EDGE_15-20,208.0,-2.3353468077331563,14.903846153846153
EDGE_20+,170.0,-1.906507285921403,18.235294117647058
EDGE_<15,540.0,-2.54869514109393,13.333333333333334
