rank,feature,classification,reason
1,p_strikeouts_trimmed_roll10,SAFE,pitcher prior rolling/career feature if shifted before game
2,p_strikeouts_trimmed_roll20,SAFE,pitcher prior rolling/career feature if shifted before game
3,p_strikeouts_roll10,SAFE,pitcher prior rolling/career feature if shifted before game
4,p_strikeouts_roll20,SAFE,pitcher prior rolling/career feature if shifted before game
5,p_strikeouts_roll5,SAFE,pitcher prior rolling/career feature if shifted before game
6,p_strikeouts_trimmed_roll5,SAFE,pitcher prior rolling/career feature if shifted before game
7,p_strikeouts_career_avg_prior,SAFE,pitcher prior rolling/career feature if shifted before game
8,p_k_per_ip_roll20,SAFE,pitcher prior rolling/career feature if shifted before game
9,p_k9_roll20,SAFE,pitcher prior rolling/career feature if shifted before game
10,p_k9_career,SAFE,pitcher prior rolling/career feature if shifted before game
11,p_k_per_ip_career_prior,SAFE,pitcher prior rolling/career feature if shifted before game
12,p_strikeouts_roll3,SAFE,pitcher prior rolling/career feature if shifted before game
13,adv_k_rate_tto2_roll10,SUSPICIOUS,requires source timestamp audit for point-in-time availability
14,adv_k_per_2strike_roll20,SUSPICIOUS,requires source timestamp audit for point-in-time availability
15,p_k9_roll10,SAFE,pitcher prior rolling/career feature if shifted before game
16,p_k_per_ip_roll10,SAFE,pitcher prior rolling/career feature if shifted before game
17,adv_whiff_rate_roll20,SUSPICIOUS,requires source timestamp audit for point-in-time availability
18,adv_whiff_rate_roll10,SUSPICIOUS,requires source timestamp audit for point-in-time availability
19,adv_k_per_2strike_avg_prior,SUSPICIOUS,requires source timestamp audit for point-in-time availability
20,adv_k_rate_tto2_avg_prior,SUSPICIOUS,requires source timestamp audit for point-in-time availability
21,adv_k_rate_tto1_avg_prior,SUSPICIOUS,requires source timestamp audit for point-in-time availability
22,adv_k_rate_tto2_roll20,SUSPICIOUS,requires source timestamp audit for point-in-time availability
23,p_strikeouts_trimmed_roll3,SAFE,pitcher prior rolling/career feature if shifted before game
24,adv_k_per_2strike_roll10,SUSPICIOUS,requires source timestamp audit for point-in-time availability
25,adv_whiff_rate_avg_prior,SUSPICIOUS,requires source timestamp audit for point-in-time availability
26,adv_k_rate_tto1_roll20,SUSPICIOUS,requires source timestamp audit for point-in-time availability
27,adv_k_rate_tto1_roll10,SUSPICIOUS,requires source timestamp audit for point-in-time availability
28,p_k9_roll5,SAFE,pitcher prior rolling/career feature if shifted before game
