model,validity,start,end,bets,wins,losses,pushes,win_rate,avg_odds,breakeven_win_rate,roi,units,binomial_p_vs_breakeven,bootstrap_roi_ci_lo,bootstrap_roi_ci_mid,bootstrap_roi_ci_hi,t_stat_units_per_bet,max_drawdown_units,longest_losing_streak,prob_true_roi_lte_0,clv_bets,avg_clv_pct,median_clv_pct,positive_clv_rate,group_type,group
2026-03,grouped_current_model,2026-03-26,2026-03-31,31,19,12,0,0.6129032258064516,6.064516129032258,0.5148268326455024,0.22136605322293895,6.862347649911108,0.18085874626258908,-0.12827000195093835,0.22454984188367388,0.5659186071723389,1.221941431307748,-5.0,5,0.1056,6,-0.335845814490519,0.0,0.16666666666666666,month,2026-03
2026-04,grouped_current_model,2026-04-01,2026-04-30,274,164,110,0,0.5985401459854015,2.218978102189781,0.5122580278558667,0.18071910831784244,49.51703567908883,0.002506690100750384,0.06692926522722199,0.18293500955074898,0.2993561203169302,3.0256775075454,-10.85338827838828,5,0.0012,117,2.4822364872493496,1.3636363636363449,0.6324786324786325,month,2026-04
2026-05,grouped_current_model,2026-05-01,2026-05-31,185,101,84,0,0.5459459459459459,-14.52972972972973,0.5156945765718911,0.0612908092337537,11.338799708244434,0.22684270336361134,-0.08147693605659141,0.06100437513966471,0.20253013491403196,0.8422188830129035,-20.620310833054194,6,0.1992,73,2.0487620700971716,0.8771929824561209,0.5753424657534246,month,2026-05
2026-06,grouped_current_model,2026-06-01,2026-06-29,193,101,92,0,0.5233160621761658,-44.22279792746114,0.5291819053300543,-0.021062827332255896,-4.065125675125388,0.5935148271922299,-0.15497304083336227,-0.01989418348477204,0.11069853036958426,-0.30833808950597563,-11.681959017282272,6,0.6202,113,-0.25664665189180214,0.0,0.49557522123893805,month,2026-06
3.5,grouped_current_model,2026-03-28,2026-05-31,29,16,13,0,0.5517241379310345,92.20689655172414,0.4579227399650749,0.22387806096951526,6.492463768115942,0.20372743945669375,-0.18821389305347325,0.2240504747626187,0.6313780609695148,1.0609959044695092,-5.130434782608695,5,0.1396,12,2.4630258498866984,1.1904761904761862,0.5,line,3.5
4.5,grouped_current_model,2026-03-26,2026-06-28,171,89,82,0,0.52046783625731,61.187134502923975,0.4788538211581422,0.07346477651072383,12.562476783333775,0.1555859321196176,-0.08351859475080857,0.07496181204158665,0.2340954568822153,0.919171786273165,-12.993223223562206,4,0.177,79,1.472901368389181,0.8230452674897304,0.5822784810126582,line,4.5
5.5,grouped_current_model,2026-03-26,2026-06-29,283,165,118,0,0.5830388692579506,-28.7773851590106,0.5258533033753404,0.1260561449769132,35.673889028466434,0.030670562954203853,0.014982871691098848,0.1245708250380329,0.24078484963628796,2.182525331161081,-13.279375477666953,5,0.0148,120,0.6823738695013931,0.9174311926605672,0.575,line,5.5
6.5,grouped_current_model,2026-03-26,2026-06-29,151,81,70,0,0.5364238410596026,-64.94701986754967,0.5428741893905312,-0.013927194063960634,-2.1030063036580557,0.5959473366199175,-0.16598652692772484,-0.014585219226885764,0.13606422991089465,-0.18311033929187379,-12.656510306992393,6,0.5918,71,2.18402858845917,0.8344459279038707,0.5352112676056338,line,6.5
7.5,grouped_current_model,2026-03-26,2026-06-28,44,30,14,0,0.6818181818181818,-113.25,0.5713623920240245,0.20045825860886793,8.82016337879019,0.09077837312077383,-0.055577935573369666,0.20188729275822573,0.438687550593986,1.5818600482088039,-4.09090909090909,3,0.0594,24,1.3829173287804277,0.8431045915479385,0.5416666666666666,line,7.5
8.5,grouped_current_model,2026-04-01,2026-06-26,5,4,1,0,0.8,-126.0,0.5519480519480519,0.44141414141414154,2.2070707070707076,0.2591436397407212,-0.30707070707070705,0.45656565656565656,0.8939393939393941,1.2054587615641947,0.0,1,0.0742,3,-2.363758246111184,0.0,0.3333333333333333,line,8.5
