model,validity,start,end,bets,wins,losses,pushes,win_rate,avg_odds,breakeven_win_rate,roi,units,binomial_p_vs_breakeven,bootstrap_roi_ci_lo,bootstrap_roi_ci_mid,bootstrap_roi_ci_hi,t_stat_units_per_bet,max_drawdown_units,longest_losing_streak,prob_true_roi_lte_0,clv_bets,avg_clv_pct,median_clv_pct,positive_clv_rate,mae,rmse,brier,log_loss,ece,edge_spearman,section,edge_min,edge_gap_min
frozen_2025_current_through_2026_06_29,mixed_canonical_plus_limited_backfill,2026-03-26,2026-06-29,683,385,298,0,0.5636896046852123,-15.266471449487556,0.5180877537906565,0.09319627725054024,63.65305736211898,0.009381529591107319,0.01737322847585585,0.09235659575863801,0.16700897176126425,2.4836363228063627,-22.86746565688527,7.0,0.006,309,1.3235118238658596,0.8695652173913215,0.5598705501618123,,,,,,,valid_model_comparison,,
frozen_2025,canonical_complete_matrix_through_2026_06_18,2026-03-26,2026-06-18,613,348,265,0,0.567699836867863,-10.615008156606851,,0.1057202379534856,64.80650586548671,,0.0324565752908097,0.1058743948670585,0.1833727231266881,,,,,259,1.9423797760155623,0.9174311926605672,0.583011583011583,1.7475150551173233,2.189313875933677,0.2451806892229879,0.6839875276309684,0.0343487774600648,-0.2,valid_model_comparison,,
walk_forward_daily,canonical_complete_matrix_through_2026_06_18,2026-03-26,2026-06-18,632,346,286,0,0.5474683544303798,-12.77373417721519,,0.0650637464156767,41.12028773470769,,-0.0117678968908173,0.065233323618005,0.1438176361088398,,,,,249,1.9768442716290853,1.0000000000000009,0.5863453815261044,1.747316487565451,2.182324013827337,0.2454207834437738,0.6843633066763434,0.0279354834386502,-0.0285714285714285,valid_model_comparison,,
walk_forward_weekly,canonical_complete_matrix_through_2026_06_18,2026-03-26,2026-06-18,630,347,283,0,0.5507936507936508,-13.255555555555556,,0.0698846174761052,44.027309009946286,,-0.0060552000160629,0.0688438366590402,0.1449012881612028,,,,,248,1.965074382428076,0.9513264337686956,0.5846774193548387,1.746362237522478,2.1819453559986,0.2454515021890022,0.6844434768500799,0.0265616751054341,-0.0857142857142857,valid_model_comparison,,
walk_forward_monthly,canonical_complete_matrix_through_2026_06_18,2026-03-26,2026-06-18,628,341,287,0,0.5429936305732485,-14.694267515923569,,0.0551551309496233,34.637422236363484,,-0.0168940667982395,0.054503132145862,0.1315229066566148,,,,,251,1.9604277637764291,0.933532486930555,0.5896414342629482,1.748437386856158,2.1859874087739954,0.2456532296032695,0.6849048868140198,0.0308508486700401,0.0857142857142857,valid_model_comparison,,
rolling_365d_weekly,canonical_complete_matrix_through_2026_06_18,2026-03-26,2026-06-18,667,366,301,0,0.5487256371814093,-12.055472263868063,,0.0661128842640098,44.09729380409456,,-0.0054943055951649,0.0666617615112509,0.1443137696108252,,,,,255,1.9259124322064496,0.9174311926605672,0.5764705882352941,1.749667239455552,2.184569772710502,0.2460663359413937,0.6857649468969331,0.0282584310226256,-0.0857142857142857,valid_model_comparison,,
rolling_540d_weekly,canonical_complete_matrix_through_2026_06_18,2026-03-26,2026-06-18,630,347,283,0,0.5507936507936508,-13.255555555555556,,0.0698846174761052,44.027309009946286,,-0.0060552000160629,0.0688438366590402,0.1449012881612028,,,,,248,1.965074382428076,0.9513264337686956,0.5846774193548387,1.746362237522478,2.1819453559986,0.2454515021890022,0.6844434768500799,0.0265616751054341,-0.0857142857142857,valid_model_comparison,,
blend_frozen_75_weekly_25,canonical_complete_matrix_through_2026_06_18,2026-03-26,2026-06-18,614,348,266,0,0.5667752442996743,-10.340390879478829,,0.1060478912544171,65.11340523021215,,0.0298785567195389,0.105978011462356,0.1797646354057351,,,,,259,1.999368738598116,0.933532486930555,0.5868725868725869,1.7468119734413532,2.1866981436747404,0.245164623557576,0.6839057806619113,0.0325929632598996,-0.2571428571428572,valid_model_comparison,,
blend_frozen_50_weekly_50,canonical_complete_matrix_through_2026_06_18,2026-03-26,2026-06-18,617,342,275,0,0.5542949756888168,-11.677471636952998,,0.079807864049394,49.24145211847616,,-0.0003471958010258,0.0809521199416255,0.157447628818774,,,,,254,1.9253256541246957,0.9174311926605672,0.5826771653543307,1.7464582027304174,2.1845972156174494,0.2452035268659628,0.6839551435062056,0.0297130553652192,0.6,valid_model_comparison,,
edge>=5_eg>=0,canonical_grid_through_2026_06_18,2026-03-26,2026-06-18,704,396,308,0,0.5625,-16.132102272727273,0.5191484597919748,0.0893210889229854,62.882046601781724,0.01167753658520606,0.01596396299352359,0.08860488361290893,0.16254243423347414,2.4174462648566566,-22.86746565688527,7.0,0.0034,0,,,,,,,,,,robustness,5.0,0.0
