pitcher,proj_hits,line,signal,price,p_model_under,p_mkt_under,edge,n_books,tier,stake_usd
José Soriano,4.88,5.5,UNDER,-115.0,0.618,0.507,0.112,4,PAPER,0
Kevin Gausman,5.08,5.5,UNDER,100.0,0.584,0.479,0.106,4,PAPER,0
Freddy Peralta,4.63,5.5,UNDER,-155.0,0.663,0.568,0.095,3,PAPER,0
Jameson Taillon,4.83,5.5,UNDER,-115.0,0.618,0.529,0.089,4,PAPER,0
Cristopher Sánchez,5.12,5.5,UNDER,-115.0,0.583,0.52,0.063,3,PAPER,0
Kyle Leahy,4.96,5.5,UNDER,-139.0,0.605,0.546,0.059,2,PAPER,0
Andrew Abbott,5.18,5.5,UNDER,100.0,0.56,0.508,0.052,4,PAPER,0
Braxton Ashcraft,4.81,5.5,UNDER,-155.0,0.624,0.573,0.051,3,PAPER,0
Jeffrey Springs,5.09,5.5,UNDER,-120.0,0.585,0.537,0.049,4,PAPER,0
Ronel Blanco,4.41,4.5,UNDER,100.0,0.524,0.483,0.04,4,PAPER,0
