pitcher,line,signal,tier,price,book,proj_ks,edge_over,n_books,stake_pct,stake_usd,stake_usd_conservative
Tarik Skubal,7.5,UNDER,CONV,-103.0,betonlineag,6.48,-0.203,6.0,2.0,200.0,75.0
JR Ritchie,2.5,OVER,CONV,-145.0,betmgm,4.335,0.193,6.0,2.0,200.0,200.0
Matthew Boyd,5.5,UNDER,CONV,110.0,betmgm,4.85,-0.183,7.0,2.0,200.0,200.0
Zack Wheeler,7.5,UNDER,CONV,-108.0,draftkings,6.532,-0.17,7.0,2.0,200.0,148.0
MacKenzie Gore,4.5,OVER,base,104.0,draftkings,5.833,0.138,6.0,2.0,200.0,200.0
Seth Lugo,4.5,UNDER,base,105.0,bovada,4.334,-0.112,7.0,0.77,77.0,0.0
Cristian Javier,3.5,OVER,base,112.0,draftkings,4.205,0.112,7.0,2.0,200.0,144.0
Germán Márquez,3.5,OVER,base,126.0,betonlineag,3.856,0.094,2.0,0.12,12.0,0.0
Robert Gasser,4.5,UNDER,base,118.0,fanduel,4.575,-0.084,5.0,0.63,63.0,0.0
Andrew Abbott,4.5,OVER,base,105.0,betrivers,5.101,0.082,6.0,0.91,91.0,11.0
