pitcher,team,opp,line,signal,tier,price,book,proj_ks,p_model_over,p_decision_over,p_mkt_over,edge_over,n_books,model_head,edge_rule,odds_timing,conviction_score,conviction_grade,ensemble_prob_std,market_prob_std,stake_pct,stake_usd,stake_usd_conservative,pitcher_id,qual_score,qual_verdict,qual_flag,qual_coverage
Tarik Skubal,116,108,7.5,UNDER,PAPER-V3.1,135.0,betrivers,6.444,0.304,0.346,0.602,-0.256,1.0,H0,lcb_1sd_8pp,t12,32.293,C,0.042,0.0,0.0,0.0,0.0,669373.0,8.0,Qualitative concerns,CONCERN,6 internal/verified areas checked
Rhett Lowder,113,115,3.5,OVER,PAPER-V3.1,132.0,fanduel,4.637,0.687,0.648,0.417,0.231,6.0,H0,lcb_1sd_8pp,t12,55.489,B,0.039,0.01,0.0,0.0,0.0,695076.0,19.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Zack Littell,120,133,2.5,OVER,PAPER-V3.1,-130.0,betmgm,3.878,0.763,0.748,0.551,0.198,2.0,H0,lcb_1sd_8pp,t12,56.703,B,0.015,0.026,0.0,0.0,0.0,641793.0,54.0,Mixed signals,MIXED,7 internal/verified areas checked
Tomoyuki Sugano,115,113,2.5,OVER,PAPER-V3.1,-148.0,fanduel,3.874,0.761,0.738,0.568,0.17,4.0,H0,lcb_1sd_8pp,t12,74.857,A,0.023,0.008,0.0,0.0,0.0,608372.0,49.0,Mixed signals,MIXED,7 internal/verified areas checked
Patrick Sandoval,111,139,3.5,OVER,PAPER-V3.1,-120.0,betmgm,4.759,0.707,0.688,0.548,0.14,6.0,H0,lcb_1sd_8pp,t12,67.71,B,0.019,0.018,0.0,0.0,0.0,663776.0,45.0,Qualitative concerns,CONCERN,6 internal/verified areas checked
J.T. Ginn,133,120,4.5,OVER,PAPER-V3.1,132.0,fanduel,4.982,0.562,0.543,0.414,0.129,5.0,H0,lcb_1sd_8pp,t12,81.306,A,0.019,0.007,0.0,0.0,0.0,669372.0,26.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Brandon Pfaadt,109,138,3.5,OVER,PAPER-V3.1,-105.0,betmgm,4.447,0.668,0.644,0.521,0.123,6.0,H0,lcb_1sd_8pp,t12,71.335,A,0.024,0.018,0.0,0.0,0.0,694297.0,44.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Gavin Williams,114,134,7.5,UNDER,PAPER-V3.1,-150.0,betmgm,6.521,0.315,0.315,0.432,-0.117,5.0,H3,raw_8pp,t4,72.524,A,0.033,0.007,0.0,0.0,0.0,668909.0,55.0,Mixed signals,MIXED,7 internal/verified areas checked
Dustin May,138,109,3.5,OVER,PAPER-V3.1,-141.0,betrivers,4.629,0.697,0.676,0.566,0.11,4.0,H0,lcb_1sd_8pp,t12,72.246,A,0.021,0.012,0.0,0.0,0.0,669160.0,36.0,Qualitative concerns,CONCERN,7 internal/verified areas checked
Spencer Arrighetti,117,110,5.5,UNDER,PAPER-CONV,121.0,draftkings,5.367,0.457,0.478,0.566,-0.088,6.0,H0,lcb_1sd_8pp,t12,83.705,A,0.021,0.006,0.0,0.0,0.0,681293.0,59.0,Moderate qualitative confirmation,SUPPORT,7 internal/verified areas checked
