pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_h0,p_mkt_over,edge_over,n_books,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative
Tarik Skubal,116,143,6.48,7.5,-118.0,betrivers,-103.0,betonlineag,0.312,0.317,0.516,-0.203,6.0,669373.0,UNDER,CONV,2.0,200.0,75.0
JR Ritchie,144,138,4.335,2.5,-145.0,betmgm,138.0,draftkings,0.772,0.81,0.58,0.193,6.0,702275.0,OVER,CONV,2.0,200.0,200.0
Matthew Boyd,112,113,4.85,5.5,-120.0,betrivers,110.0,betmgm,0.347,0.356,0.53,-0.183,7.0,571510.0,UNDER,CONV,2.0,200.0,200.0
Zack Wheeler,143,116,6.532,7.5,100.0,betmgm,-108.0,draftkings,0.322,0.327,0.492,-0.17,7.0,554430.0,UNDER,CONV,2.0,200.0,148.0
MacKenzie Gore,140,117,5.833,4.5,104.0,draftkings,125.0,betmgm,0.665,0.702,0.527,0.138,6.0,669022.0,OVER,base,2.0,200.0,200.0
Germán Márquez,135,141,3.856,2.5,-165.0,betrivers,138.0,draftkings,0.713,0.751,0.592,0.12,4.0,608566.0,OVER,base,0.0,0.0,0.0
Seth Lugo,118,110,4.334,4.5,-120.0,betmgm,105.0,bovada,0.42,0.437,0.532,-0.112,7.0,607625.0,UNDER,base,0.77,77.0,0.0
Cristian Javier,117,140,4.205,3.5,112.0,draftkings,-105.0,betmgm,0.582,0.615,0.47,0.112,7.0,664299.0,OVER,base,2.0,200.0,144.0
Robert Gasser,158,134,4.575,5.5,125.0,betrivers,-167.0,betrivers,0.305,0.309,0.415,-0.11,1.0,688107.0,UNDER,base,0.0,0.0,0.0
Germán Márquez,135,141,3.856,3.5,126.0,betonlineag,-160.0,betmgm,0.514,0.541,0.42,0.094,2.0,608566.0,OVER,base,0.12,12.0,0.0
Robert Gasser,158,134,4.575,4.5,-140.0,draftkings,118.0,fanduel,0.471,0.494,0.556,-0.084,5.0,688107.0,UNDER,base,0.63,63.0,0.0
Andrew Abbott,113,112,5.101,4.5,105.0,betrivers,-110.0,betmgm,0.558,0.589,0.477,0.082,6.0,671096.0,OVER,base,0.91,91.0,11.0
Dustin May,138,144,5.436,4.5,-125.0,fanatics,106.0,fanduel,0.605,0.64,0.531,0.074,7.0,669160.0,-,,0.0,0.0,0.0
Cade Cavalli,120,147,5.164,5.5,110.0,bovada,-124.0,draftkings,0.397,0.412,0.467,-0.069,5.0,676917.0,-,,0.0,0.0,0.0
Kevin Gausman,141,135,5.149,5.5,110.0,betonlineag,-119.0,draftkings,0.405,0.421,0.474,-0.069,7.0,592332.0,-,,0.0,0.0,0.0
José Soriano,108,142,4.947,5.5,126.0,betonlineag,-152.0,betrivers,0.373,0.385,0.424,-0.051,6.0,667755.0,-,,0.0,0.0,0.0
Michael Lorenzen,115,137,4.391,3.5,-140.0,fanduel,119.0,draftkings,0.608,0.643,0.559,0.049,6.0,547179.0,-,,0.0,0.0,0.0
Payton Tolle,111,121,5.127,5.5,123.0,betrivers,-135.0,bovada,0.4,0.415,0.449,-0.049,7.0,801139.0,-,,0.0,0.0,0.0
Shane Baz,110,118,5.005,5.5,126.0,fanduel,-152.0,betonlineag,0.375,0.387,0.423,-0.048,5.0,669358.0,-,,0.0,0.0,0.0
Cade Cavalli,120,147,5.164,4.5,-185.0,betmgm,135.0,betmgm,0.556,0.587,0.604,-0.048,1.0,676917.0,-,,0.0,0.0,0.0
Emerson Hancock,136,139,4.564,4.5,134.0,betonlineag,-150.0,betmgm,0.464,0.486,0.422,0.041,6.0,676106.0,-,,0.47,47.0,11.0
Ian Seymour,139,136,5.972,5.5,-135.0,bovada,128.0,betonlineag,0.519,0.547,0.559,-0.039,7.0,693855.0,-,,1.12,112.0,77.0
Noah Schultz,145,133,4.59,4.5,120.0,fanatics,-132.0,betrivers,0.481,0.505,0.446,0.035,7.0,702273.0,-,,0.0,0.0,0.0
Trevor McDonald,137,115,4.437,4.5,103.0,betonlineag,-125.0,draftkings,0.436,0.454,0.469,-0.033,5.0,686790.0,-,,0.0,0.0,0.0
Paul Skenes,134,158,6.798,6.5,-120.0,betmgm,106.0,fanduel,0.5,0.525,0.532,-0.032,7.0,694973.0,-,,0.0,0.0,0.0
Emmet Sheehan,119,109,5.346,5.5,110.0,betmgm,-122.0,draftkings,0.428,0.446,0.46,-0.031,7.0,686218.0,-,,0.0,0.0,0.0
Joey Cantillo,114,146,5.105,4.5,-145.0,betmgm,130.0,fanduel,0.552,0.583,0.578,-0.026,4.0,676282.0,-,,0.0,0.0,0.0
Joey Cantillo,114,146,5.105,5.5,128.0,betonlineag,-163.0,draftkings,0.391,0.404,0.413,-0.023,2.0,676282.0,-,,0.0,0.0,0.0
Shane Baz,110,118,5.005,4.5,-150.0,betmgm,110.0,betmgm,0.539,0.568,0.558,-0.019,1.0,669358.0,-,,0.0,0.0,0.0
Will Warren,147,120,4.663,4.5,110.0,betmgm,-113.0,fanduel,0.486,0.51,0.478,0.008,7.0,701542.0,-,,0.34,34.0,26.0
J.T. Ginn,133,145,4.629,4.5,102.0,fanduel,-105.0,betmgm,0.481,0.504,0.484,-0.003,6.0,669372.0,-,,0.48,48.0,45.0
Yoshinobu Yamamoto,119,109,6.564,,,,,,,,,,,,,,,,
Brandon Pfaadt,109,119,4.548,,,,,,,,,,,,,,,,
