pitcher,team,opp,proj_ks,line,best_over,over_book,best_under,under_book,p_model_over,p_decision_over,p_h0,p_h3,model_head,edge_rule,p_mkt_over,raw_edge_over,edge_over,n_books,ensemble_prob_std,market_prob_std,odds_timing,conviction_score,conviction_grade,conviction_status,paper_challenger,upgrade_candidate,pitcher_id,signal,tier,stake_pct,stake_usd,stake_usd_conservative,suppressed_duplicate
Justin Wrobleski,119,143,4.551,5.5,105.0,fanatics,-118.0,draftkings,0.306,0.306,0.302,0.306,H3,raw_8pp,0.472,-0.165,-0.165,7.0,0.03,0.011,t4,64.271,B,CORROBORATED,False,True,680736.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Luinder Avila,118,137,4.521,3.5,-120.0,fanatics,103.0,draftkings,0.677,0.662,0.677,0.677,H0,lcb_1sd_8pp,0.525,0.152,0.137,7.0,0.015,0.009,t12,76.695,A,CORROBORATED,False,True,679883.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Michael Lorenzen,115,120,4.204,3.5,105.0,bovada,-119.0,draftkings,0.619,0.596,0.619,0.623,H0,lcb_1sd_8pp,0.467,0.152,0.129,7.0,0.023,0.01,t12,73.705,A,CORROBORATED,False,True,547179.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Walbert Ureña,108,138,5.03,4.5,128.0,betonlineag,-145.0,draftkings,0.562,0.527,0.562,0.552,H0,lcb_1sd_8pp,0.423,0.139,0.104,7.0,0.034,0.009,t12,61.393,B,CORROBORATED,False,True,700712.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Reynaldo López,144,135,4.772,3.5,-175.0,betrivers,128.0,betrivers,0.693,0.693,0.701,0.693,H3,raw_8pp,0.592,0.101,0.101,1.0,0.027,0.0,t4,38.511,C,LOW,False,True,625643.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Chase Burns,113,136,6.136,6.5,-150.0,betrivers,132.0,betonlineag,0.424,0.477,0.424,0.406,H0,lcb_1sd_8pp,0.576,-0.152,-0.098,6.0,0.053,0.011,t12,44.215,C,LOW,False,True,695505.0,UNDER,PAPER-V3.1,0.0,0.0,0.0,False
Zac Thornton,121,158,4.645,3.5,-165.0,betmgm,125.0,betmgm,0.688,0.669,0.688,0.683,H0,lcb_1sd_8pp,0.583,0.104,0.086,1.0,0.019,0.0,t12,45.304,C,LOW,False,True,804267.0,OVER,PAPER-V3.1,0.0,0.0,0.0,False
Reynaldo López,144,135,4.772,4.5,118.0,fanduel,-143.0,draftkings,0.519,0.519,0.527,0.519,H3,raw_8pp,0.438,0.081,0.081,6.0,0.028,0.004,t4,76.593,A,CORROBORATED,False,False,625643.0,-,,0.0,0.0,0.0,True
Walker Buehler,135,144,4.321,3.5,-137.0,betrivers,121.0,draftkings,0.639,0.639,0.645,0.639,H3,raw_8pp,0.562,0.077,0.077,6.0,0.026,0.011,t4,74.212,A,CORROBORATED,False,False,621111.0,-,,0.0,0.0,0.0,False
Tyler Mahle,137,118,4.527,3.5,-165.0,betrivers,123.0,betrivers,0.672,0.658,0.672,0.669,H0,lcb_1sd_8pp,0.581,0.091,0.077,1.0,0.014,0.0,t12,57.184,B,CORROBORATED,False,False,641816.0,-,,0.0,0.0,0.0,False
