pitcher,team,opp,proj_ks,line
Joe Ryan,142,108,5.487,
Freddy Peralta,139,111,5.022,
Nick Lodolo,113,112,4.83,
Matthew Boyd,112,113,4.583,
Jacob Lopez,133,114,5.21,
Bryce Miller,136,115,4.644,
Bryan Woo,136,115,5.82,
Sean Burke,145,116,5.74,
Tyler Mahle,144,117,4.697,
Grant Holmes,144,117,3.9,
Bubba Chandler,134,118,4.78,
Michael McGreevy,138,120,4.306,
Andrew Painter,143,121,4.594,
Tanner Bibee,114,133,4.975,
Noah Cameron,118,134,4.919,
Eury Pérez,146,135,4.992,
Jose Quintana,115,136,3.871,
Gabriel Hughes,115,136,4.258,
Tyler Glasnow,119,137,6.809,
Tarik Skubal,119,137,7.289,
Andrew Alvarez,120,138,4.529,
Cade Cavalli,120,138,5.953,
José Soriano,141,140,4.816,
Cal Quantrill,140,141,4.026,
Kumar Rocker,140,141,4.393,
Reid Detmers,108,142,6.728,
Grayson Rodriguez,108,142,5.481,
Christian Scott,121,143,5.372,
Peter Lambert,117,144,5.114,
Hayden Wesneski,117,144,4.586,
Jackson Jobe,116,145,4.767,
Nick Pivetta,135,146,5.35,
Casey Mize,135,146,4.379,
Eduardo Rodriguez,109,147,5.296,
Brandon Pfaadt,109,147,4.682,
Trevor Rogers,110,158,5.23,
