Bet ID,Date,Game Date,Pitcher,Team,Opponent,Home/Away,Sportsbook,Opening Odds,Closing Odds,Executed Odds,Exchange-adjusted Odds,Strikeout Line,Model Projection,Market Projection,Margin,Devig Edge,Model Probability,Market Implied Probability,Bet Side,Odds,Decimal Odds,American Odds,Units Risked,Units Won/Lost,Stake ($),Profit/Loss ($),ROI for Bet,CLV,Result,Running Win %,Running ROI,Running Units,Running Bankroll,Year,Month,Odds Bucket,Model Sample,Kelly Fraction
KPROP-00001,2025-07-01 18:35:37,2025-07-01,Joe Ryan,142,146,Away,bovada,,,100.0,100.0,6.5,5.897896114788809,6.5,0.6021038852111911,0.24539648054241028,0.6226982402712051,0.4894613583138174,Under,100.0,2.0,100.0,1.0,1.0,100.0,100.0,1.0,,Win,1.0,1.0,1.0,10100.0,2025,2025-07,+100 to +120,2025 Validation,0.24539648054241026
KPROP-00002,2025-07-01 15:05:37,2025-07-01,Kevin Gausman,141,147,Home,betrivers,,,-130.0,-130.0,6.5,5.843536712543805,6.5,0.6564632874561953,0.11712256410934258,0.6314171014531067,0.5542635658914729,Under,-130.0,1.7692307692307692,-130.0,1.0,0.7692307692307692,100.0,76.92307692307692,0.7692307692307692,,Win,1.0,0.8846153846153846,1.7692307692307692,10176.923076923076,2025,2025-07,-149 to -120,2025 Validation,0.15225933334214536
KPROP-00003,2025-07-02 13:05:38,2025-07-02,Clay Holmes,121,158,Home,fanduel,,,-112.0,-112.0,4.5,4.142995857204013,4.5,0.35700414279598736,0.137462637907535,0.6009236577624714,0.5137614678899083,Under,-112.0,1.8928571428571428,-112.0,1.0,0.8928571428571428,100.0,89.28571428571428,0.8928571428571428,,Win,1.0,0.8873626373626373,2.662087912087912,10266.208791208792,2025,2025-07,-119 to -101,2025 Validation,0.1539581544564392
KPROP-00004,2025-07-02 18:40:38,2025-07-02,Jack Flaherty,116,120,Away,draftkings,,,105.0,105.0,5.5,5.402234810859781,5.5,0.09776518914021892,0.11877912244449329,0.5457459133875577,0.46492659053833607,Under,105.0,2.05,105.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.75,0.415521978021978,1.662087912087912,10166.208791208792,2025,2025-07,+100 to +120,2025 Validation,0.11312297375666029
KPROP-00005,2025-07-02 19:05:38,2025-07-02,Nick Martinez,113,111,Away,fanduel,,,-111.0,-111.0,4.5,4.304609803978205,4.5,0.19539019602179497,0.08265287903395159,0.5695472491600408,0.4958445875753168,Under,-111.0,1.900900900900901,-111.0,1.0,0.900900900900901,100.0,90.0900900900901,0.900900900900901,,Win,0.8,0.5125977625977626,2.562988812988813,10256.29888129888,2025,2025-07,-119 to -101,2025 Validation,0.09174469572768623
KPROP-00006,2025-07-02 12:35:37,2025-07-02,Sonny Gray,138,134,Away,betonlineag,,,128.0,128.0,5.5,5.6580930121606485,5.5,-0.15809301216064853,0.14463618425590374,0.5020334141473262,0.4306601042269832,Under,128.0,2.2800000000000002,128.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.6666666666666666,0.2604981354981355,1.562988812988813,10156.29888129888,2025,2025-07,+121 to +150,2025 Validation,0.11299701894992478
KPROP-00007,2025-07-03 19:05:37,2025-07-03,Chris Bassitt,141,147,Home,fanduel,,,106.0,106.0,5.5,5.254391245616934,5.5,0.24560875438306606,0.17711907844064334,0.5714170283692444,0.4708904109589041,Under,106.0,2.06,106.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.5714285714285714,0.08042697328411615,0.562988812988813,10056.29888129888,2025,2025-07,+100 to +120,2025 Validation,0.167093470227022
KPROP-00008,2025-07-03 19:10:37,2025-07-03,David Peterson,121,158,Home,betrivers,,,116.0,116.0,4.5,4.603398741662082,4.5,-0.1033987416620823,0.10720905347111585,0.5125967840144054,0.4462590201291302,Under,116.0,2.16,116.0,1.0,1.1600000000000001,100.0,116.00000000000001,1.1600000000000001,,Win,0.625,0.21537360162360164,1.7229888129888131,10172.29888129888,2025,2025-07,+100 to +120,2025 Validation,0.09242159781992745
KPROP-00009,2025-07-04 16:10:38,2025-07-04,Chris Paddack,142,139,Home,fanduel,,,-102.0,-102.0,3.5,3.422676815985905,3.5,0.07732318401409488,0.09596135909379801,0.5534062308295415,0.48560673162090345,Under,-102.0,1.9803921568627452,-102.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.5555555555555556,0.08033209033209035,0.7229888129888131,10072.29888129888,2025,2025-07,-119 to -101,2025 Validation,0.09788058627567395
KPROP-00010,2025-07-04 11:05:37,2025-07-04,Lucas Giolito,111,120,Away,fanatics,,,-145.0,-145.0,5.5,4.506872689722134,5.5,0.9931273102778659,0.1857255686052805,0.7017559487663905,0.5610892153350053,Under,-145.0,1.6896551724137931,-145.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.5,-0.027701118701118688,-0.2770111870111869,9972.29888129888,2025,2025-07,-149 to -120,2025 Validation,0.2693020744776567
KPROP-00011,2025-07-05 16:05:37,2025-07-05,Ranger Suarez,143,113,Home,bovada,,,120.0,120.0,5.5,5.5168499129657445,5.5,-0.01684991296574445,0.15727223329606477,0.5260328333163931,0.43579626972740315,Under,120.0,2.2,120.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.45454545454545453,-0.11609192609192608,-1.2770111870111869,9872.29888129888,2025,2025-07,+100 to +120,2025 Validation,0.1310601944133873
KPROP-00012,2025-07-06 13:35:37,2025-07-06,Chase Burns,113,143,Away,draftkings,,,-105.0,-105.0,4.5,3.9147039170513542,4.5,0.5852960829486458,0.2602538111640714,0.6454958544986708,0.49331997327989313,Under,-105.0,1.9523809523809523,-105.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.4166666666666667,-0.18975093225093223,-2.277011187011187,9772.29888129888,2025,2025-07,-119 to -101,2025 Validation,0.273266501722275
KPROP-00013,2025-07-06 18:10:37,2025-07-06,Erick Fedde,138,112,Away,fanduel,,,130.0,130.0,3.5,3.7950359346191,3.5,-0.2950359346190998,0.09135221325719123,0.47450096228573535,0.4307974335472044,Under,130.0,2.3,130.0,1.0,1.2999999999999998,100.0,129.99999999999997,1.2999999999999998,,Win,0.46153846153846156,-0.07515470669316823,-0.977011187011187,9902.29888129888,2025,2025-07,+121 to +150,2025 Validation,0.0702709332747625
KPROP-00014,2025-07-06 13:30:37,2025-07-06,Garrett Crochet,111,120,Away,fanduel,,,120.0,120.0,7.5,7.742046730722975,7.5,-0.24204673072297478,0.07691974519623546,0.4895089750891979,0.43795620437956206,Under,120.0,2.2,120.0,1.0,1.2000000000000002,100.0,120.00000000000001,1.2000000000000002,,Win,0.5,0.015927772356343795,0.22298881298881312,10022.29888129888,2025,2025-07,+100 to +120,2025 Validation,0.06409978766352954
KPROP-00015,2025-07-06 16:10:37,2025-07-06,George Kirby,136,134,Home,fanduel,,,108.0,108.0,5.5,5.279102412170667,5.5,0.22089758782933266,0.17959033803795388,0.567110739441324,0.45963229416466833,Under,108.0,2.08,108.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.4666666666666667,-0.05180074580074579,-0.7770111870111869,9922.29888129888,2025,2025-07,+100 to +120,2025 Validation,0.16628735003514247
KPROP-00016,2025-07-06 14:10:37,2025-07-06,Joe Ryan,142,139,Home,bovada,,,120.0,120.0,5.5,5.521019626305564,5.5,-0.021019626305563754,0.1557026622684834,0.5253193919402197,0.45454545454545453,Under,120.0,2.2,120.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.4375,-0.11106319918819918,-1.7770111870111869,9822.29888129888,2025,2025-07,+100 to +120,2025 Validation,0.12975221855706948
KPROP-00017,2025-07-06 13:35:37,2025-07-06,Kevin Gausman,141,108,Home,draftkings,,,-125.0,-125.0,6.5,5.701976543432917,6.5,0.7980234565670834,0.1772925156614057,0.6540513975896698,0.5443037974683544,Under,-125.0,1.8,-125.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.4117647058823529,-0.16335359923595216,-2.777011187011187,9722.29888129888,2025,2025-07,-149 to -120,2025 Validation,0.22161564457675711
KPROP-00018,2025-07-06 18:10:37,2025-07-06,Matthew Boyd,112,138,Home,betrivers,,,132.0,132.0,4.5,4.268010108774256,4.5,0.23198989122574432,0.3377767812936643,0.576627922971407,0.4004316710212427,Under,132.0,2.3200000000000003,132.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.3888888888888889,-0.20983395483395484,-3.777011187011187,9622.29888129888,2025,2025-07,+121 to +150,2025 Validation,0.25589150098004865
KPROP-00019,2025-07-06 18:10:37,2025-07-06,Matthew Boyd,112,138,Home,fanatics,,,-140.0,-140.0,5.5,4.268010108774256,5.5,1.2319898912257443,0.2719416031156179,0.741965935150777,0.5675675675675677,Under,-140.0,1.7142857142857144,-140.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.3684210526315789,-0.2514216414216414,-4.777011187011187,9522.29888129888,2025,2025-07,-149 to -120,2025 Validation,0.38071824436186497
KPROP-00020,2025-07-07 19:10:38,2025-07-07,Brady Singer,113,146,Home,bovada,,,120.0,120.0,4.5,4.382038664619885,4.5,0.117961335380115,0.22018692084493055,0.5546304185658775,0.4409566517189835,Under,120.0,2.2,120.0,1.0,1.2000000000000002,100.0,120.00000000000001,1.2000000000000002,,Win,0.4,-0.17885055935055932,-3.5770111870111867,9642.29888129888,2025,2025-07,+100 to +120,2025 Validation,0.18348910070410873
KPROP-00021,2025-07-07 19:35:37,2025-07-07,Freddy Peralta,158,119,Home,betmgm,,,120.0,120.0,5.5,5.5034880879281065,5.5,-0.003488087928106509,0.16230602586895893,0.5283209208495268,0.44251134644478063,Under,120.0,2.2,120.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.38095238095238093,-0.21795291366719938,-4.577011187011187,9542.29888129888,2025,2025-07,+100 to +120,2025 Validation,0.13525502155746574
KPROP-00022,2025-07-07 19:35:37,2025-07-07,Noah Cameron,118,134,Home,bovada,,,110.0,110.0,4.5,4.428737477472014,4.5,0.07126252252798615,0.1459304057440447,0.5456811455924022,0.46424090338770385,Under,110.0,2.1,110.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.36363636363636365,-0.2535005085005085,-5.577011187011187,9442.29888129888,2025,2025-07,+100 to +120,2025 Validation,0.1326640052218588
KPROP-00023,2025-07-07 19:10:38,2025-07-07,Richard Fitts,111,115,Home,bovada,,,105.0,105.0,4.5,4.281809700861622,4.5,0.21819029913837795,0.17661019832885094,0.5739561943067566,0.4740160904544466,Under,105.0,2.05,105.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.34782608695652173,-0.2859570081309212,-6.577011187011187,9342.29888129888,2025,2025-07,+100 to +120,2025 Validation,0.16820018888461996
KPROP-00024,2025-07-07 19:35:37,2025-07-07,Yoshinobu Yamamoto,119,158,Away,betrivers,,,123.0,123.0,5.5,5.320093309730795,5.5,0.17990669026920525,0.2487555914212876,0.5599800858391424,0.41757244960197687,Under,123.0,2.23,123.0,1.0,1.23,100.0,123.0,1.23,,Win,0.375,-0.2227921327921328,-5.347011187011187,9465.29888129888,2025,2025-07,+121 to +150,2025 Validation,0.20224031822868907
KPROP-00025,2025-07-07 19:35:37,2025-07-07,Yoshinobu Yamamoto,119,158,Away,fanduel,,,-158.0,-158.0,6.5,5.320093309730795,6.5,1.1799066902692052,0.16596763125868785,0.7140421927863282,0.5794621026894865,Under,-158.0,1.6329113924050633,-158.0,1.0,0.6329113924050633,100.0,63.29113924050633,0.6329113924050633,,Win,0.4,-0.18856399178424496,-4.714099794606124,9528.590020539388,2025,2025-07,<= -150,2025 Validation,0.2622288573887268
KPROP-00026,2025-07-08 19:35:38,2025-07-08,Clayton Kershaw,119,158,Away,fanduel,,,122.0,122.0,3.5,3.6214480661120576,3.5,-0.1214480661120576,0.13368134235713447,0.5106672713320426,0.4357298474945534,Under,122.0,2.2199999999999998,122.0,1.0,1.2199999999999998,100.0,121.99999999999997,1.2199999999999998,,Win,0.4230769230769231,-0.1343884536386971,-3.4940997946061243,9650.590020539388,2025,2025-07,+121 to +150,2025 Validation,0.10957487078453647
KPROP-00027,2025-07-08 19:35:38,2025-07-08,Clayton Kershaw,119,158,Away,bovada,,,-185.0,-185.0,4.5,3.6214480661120576,4.5,0.8785519338879424,0.08197139081560045,0.7023323063188985,0.6090534979423868,Under,-185.0,1.5405405405405406,-185.0,1.0,0.5405405405405406,100.0,54.054054054054056,0.5405405405405406,,Win,0.4444444444444444,-0.10939108348391052,-2.953559254065584,9704.644074593441,2025,2025-07,<= -150,2025 Validation,0.15164707300886082
KPROP-00028,2025-07-08 18:40:37,2025-07-08,Jack Flaherty,116,139,Home,draftkings,,,125.0,125.0,5.5,5.133919309083316,5.5,0.36608069091668405,0.33307109247414834,0.5924760410996215,0.43466299862448415,Under,125.0,2.25,125.0,1.0,-1.0,100.0,-100.0,-1.0,,Loss,0.42857142857142855,-0.14119854478805657,-3.953559254065584,9604.644074593441,2025,2025-07,+121 to +150,2025 Validation,0.26645687397931866
