policy,fold,train_start,train_end,eval_start,eval_end,n_train,n_eval,train_end_lt_eval_start,fit_seconds
frozen,0,2022-01-01,2024-12-31,2025-03-01,2026-06-30,17182,10528,True,2.1
annual_expanding,0,2022-01-01,2025-02-28,2025-03-01,2026-02-28,17182,5633,True,0.1
annual_expanding,1,2022-01-01,2026-02-28,2026-03-01,2026-06-30,22815,4895,True,0.1
rolling_3yr,0,2022-04-07,2025-02-28,2025-03-01,2025-03-30,17182,121,True,0.1
rolling_3yr,1,2022-04-07,2025-03-30,2025-03-31,2025-04-29,17303,895,True,0.1
rolling_3yr,2,2022-04-30,2025-04-29,2025-04-30,2025-05-29,17548,938,True,0.1
rolling_3yr,3,2022-05-30,2025-05-29,2025-05-30,2025-06-28,17481,960,True,0.0
rolling_3yr,4,2022-06-29,2025-06-28,2025-06-29,2025-07-28,17489,808,True,0.0
rolling_3yr,5,2022-07-29,2025-07-28,2025-07-29,2025-08-27,17390,920,True,0.1
rolling_3yr,6,2022-08-28,2025-08-27,2025-08-28,2025-09-26,17305,902,True,0.1
rolling_3yr,7,2022-09-27,2025-09-26,2025-09-27,2025-10-26,17240,89,True,0.0
rolling_3yr,13,2023-03-26,2026-03-25,2026-03-26,2026-04-24,17018,714,True,0.1
rolling_3yr,14,2023-04-25,2026-04-24,2026-04-25,2026-05-24,16956,750,True,0.0
rolling_3yr,15,2023-05-25,2026-05-24,2026-05-25,2026-06-23,16764,1806,True,0.0
rolling_3yr,16,2023-06-24,2026-06-23,2026-06-24,2026-06-30,17654,1625,True,0.1
rolling_2yr,0,2023-03-01,2025-02-28,2025-03-01,2025-03-30,11385,121,True,0.0
rolling_2yr,1,2023-03-31,2025-03-30,2025-03-31,2025-04-29,11484,895,True,0.0
rolling_2yr,2,2023-04-30,2025-04-29,2025-04-30,2025-05-29,11465,938,True,0.0
rolling_2yr,3,2023-05-30,2025-05-29,2025-05-30,2025-06-28,11467,960,True,0.0
rolling_2yr,4,2023-06-29,2025-06-28,2025-06-29,2025-07-28,11529,808,True,0.0
rolling_2yr,5,2023-07-29,2025-07-28,2025-07-29,2025-08-27,11485,920,True,0.0
rolling_2yr,6,2023-08-28,2025-08-27,2025-08-28,2025-09-26,11423,902,True,0.0
rolling_2yr,7,2023-09-27,2025-09-26,2025-09-27,2025-10-26,11421,89,True,0.0
rolling_2yr,13,2024-03-25,2026-03-25,2026-03-26,2026-04-24,11338,714,True,0.0
rolling_2yr,14,2024-04-24,2026-04-24,2026-04-25,2026-05-24,11240,750,True,0.0
rolling_2yr,15,2024-05-24,2026-05-24,2026-05-25,2026-06-23,11052,1806,True,0.0
rolling_2yr,16,2024-06-23,2026-06-23,2026-06-24,2026-06-30,11947,1625,True,0.0
expanding_monthly,0,2022-01-01,2025-02-28,2025-03-01,2025-03-30,17182,121,True,0.1
expanding_monthly,1,2022-01-01,2025-03-30,2025-03-31,2025-04-29,17303,895,True,0.1
expanding_monthly,2,2022-01-01,2025-04-29,2025-04-30,2025-05-29,18198,938,True,0.1
expanding_monthly,3,2022-01-01,2025-05-29,2025-05-30,2025-06-28,19136,960,True,0.1
expanding_monthly,4,2022-01-01,2025-06-28,2025-06-29,2025-07-28,20096,808,True,0.1
expanding_monthly,5,2022-01-01,2025-07-28,2025-07-29,2025-08-27,20904,920,True,0.1
expanding_monthly,6,2022-01-01,2025-08-27,2025-08-28,2025-09-26,21824,902,True,0.1
expanding_monthly,7,2022-01-01,2025-09-26,2025-09-27,2025-10-26,22726,89,True,0.1
expanding_monthly,13,2022-01-01,2026-03-25,2026-03-26,2026-04-24,22815,714,True,0.1
expanding_monthly,14,2022-01-01,2026-04-24,2026-04-25,2026-05-24,23529,750,True,0.1
expanding_monthly,15,2022-01-01,2026-05-24,2026-05-25,2026-06-23,24279,1806,True,0.1
expanding_monthly,16,2022-01-01,2026-06-23,2026-06-24,2026-06-30,26085,1625,True,0.1
expanding_biweekly,1,2022-01-01,2025-03-14,2025-03-15,2025-03-28,17182,37,True,0.1
expanding_biweekly,2,2022-01-01,2025-03-28,2025-03-29,2025-04-11,17219,409,True,0.1
expanding_biweekly,3,2022-01-01,2025-04-11,2025-04-12,2025-04-25,17628,410,True,0.1
expanding_biweekly,4,2022-01-01,2025-04-25,2025-04-26,2025-05-09,18038,483,True,0.0
expanding_biweekly,5,2022-01-01,2025-05-09,2025-05-10,2025-05-23,18521,422,True,0.1
expanding_biweekly,6,2022-01-01,2025-05-23,2025-05-24,2025-06-06,18943,435,True,0.1
