model,month,bets,wins,losses,pushes,win_rate,roi,units,avg_clv_pct,clv_coverage
frozen_2025,2026-03,31,19,12,0,0.6129032258064516,0.22136605322293895,6.862347649911108,-0.335845814490519,0.1935483870967742
frozen_2025,2026-04,274,164,110,0,0.5985401459854015,0.18071910831784244,49.51703567908883,2.4822364872493496,0.42700729927007297
frozen_2025,2026-05,185,101,84,0,0.5459459459459459,0.0612908092337537,11.338799708244434,2.0487620700971716,0.3945945945945946
frozen_2025,2026-06,123,64,59,0,0.5203252032520326,-0.023672172128111145,-2.911677171757671,1.033494234122324,0.5121951219512195
walk_forward_daily,2026-03,34,19,15,0,0.5588235294117647,0.09446171468416933,3.2116982992617573,-0.3358458144905188,0.17647058823529413
walk_forward_daily,2026-04,293,170,123,0,0.5802047781569966,0.14150548490130785,41.4611070760832,2.5863442721177474,0.40273037542662116
walk_forward_daily,2026-05,203,109,94,0,0.5369458128078818,0.03440077705827088,6.983357742828989,1.8288693329086105,0.3645320197044335
walk_forward_daily,2026-06,102,48,54,0,0.47058823529411764,-0.10329289591633589,-10.53587538346626,1.0534185054402752,0.5
walk_forward_weekly,2026-03,33,18,15,0,0.5454545454545454,0.07764689848215478,2.562347649911108,-0.3358458144905188,0.18181818181818182
walk_forward_weekly,2026-04,284,165,119,0,0.5809859154929577,0.14195727529231064,40.315866183016226,2.6085791723090512,0.4084507042253521
walk_forward_weekly,2026-05,205,110,95,0,0.5365853658536586,0.0348515745944884,7.144572791870122,1.7977566751865108,0.36097560975609755
walk_forward_weekly,2026-06,108,54,54,0,0.5,-0.055513681618992367,-5.9954776148511755,1.0331604572587314,0.48148148148148145
walk_forward_monthly,2026-03,35,20,15,0,0.5714285714285714,0.12012525070588152,4.204383774705853,-1.2920790492847158,0.2
walk_forward_monthly,2026-04,277,160,117,0,0.5776173285198556,0.13818855759280357,38.27823045320659,2.6616038921589213,0.4151624548736462
walk_forward_monthly,2026-05,199,105,94,0,0.5276381909547738,0.0225148321264861,4.480451593170734,2.015633235927965,0.36683417085427134
walk_forward_monthly,2026-06,117,56,61,0,0.47863247863247865,-0.10534738106598017,-12.32564358471968,0.8551115755689171,0.47863247863247865
rolling_365d_weekly,2026-03,33,18,15,0,0.5454545454545454,0.07764689848215478,2.562347649911108,-0.3358458144905188,0.18181818181818182
rolling_365d_weekly,2026-04,295,172,123,0,0.5830508474576271,0.14458502756311314,42.65258313111838,2.5502920538910345,0.39661016949152544
rolling_365d_weekly,2026-05,222,119,103,0,0.536036036036036,0.03784602492339906,8.40181753299459,1.7331366317279486,0.34684684684684686
rolling_365d_weekly,2026-06,117,57,60,0,0.48717948717948717,-0.08136285905922659,-9.519454509929512,1.114310075477902,0.4700854700854701
rolling_540d_weekly,2026-03,33,18,15,0,0.5454545454545454,0.07764689848215478,2.562347649911108,-0.3358458144905188,0.18181818181818182
rolling_540d_weekly,2026-04,284,165,119,0,0.5809859154929577,0.14195727529231064,40.315866183016226,2.6085791723090512,0.4084507042253521
rolling_540d_weekly,2026-05,205,110,95,0,0.5365853658536586,0.0348515745944884,7.144572791870122,1.7977566751865108,0.36097560975609755
rolling_540d_weekly,2026-06,108,54,54,0,0.5,-0.055513681618992367,-5.9954776148511755,1.0331604572587314,0.48148148148148145
blend_frozen_75_weekly_25,2026-03,31,19,12,0,0.6129032258064516,0.22136605322293895,6.862347649911108,-0.335845814490519,0.1935483870967742
blend_frozen_75_weekly_25,2026-04,274,164,110,0,0.5985401459854015,0.18219460362545456,49.92132139337455,2.6100702792639705,0.4306569343065693
blend_frozen_75_weekly_25,2026-05,190,103,87,0,0.5421052631578948,0.056886131187556505,10.808364925635736,2.0776896385765253,0.3894736842105263
blend_frozen_75_weekly_25,2026-06,119,62,57,0,0.5210084033613446,-0.020828812930329735,-2.4786287387092387,0.9526926553449812,0.5126050420168067
blend_frozen_50_weekly_50,2026-03,33,18,15,0,0.5454545454545454,0.07764689848215478,2.562347649911108,-0.3358458144905188,0.18181818181818182
blend_frozen_50_weekly_50,2026-04,277,163,114,0,0.5884476534296029,0.1610576210766453,44.61296103823075,2.6668542784495677,0.4187725631768953
blend_frozen_50_weekly_50,2026-05,192,104,88,0,0.5416666666666666,0.05394933773854183,10.358272845800032,1.8868524599344692,0.3854166666666667
blend_frozen_50_weekly_50,2026-06,115,57,58,0,0.4956521739130435,-0.07210547317796288,-8.292129415465732,0.7252691844709523,0.5043478260869565
