feature,perm_delta_24,rank_24,perm_delta_25,rank_25
p_strikeouts_career_avg_prior,0.02060490098605503,1,0.0221180096536836,1
opp_lineup_weighted_k_rate_prior,0.01512845598630017,2,0.0034540540105048034,6
opp_batting_k_rate_roll3,0.01099825465083717,3,0.010877353249297218,2
p_strikeouts_roll20,0.00983175315717182,4,0.007286018139479644,3
opp_lineup_top6_k_rate_prior,0.009506192980067097,5,0.002094942623359075,11
is_home,0.008151680856738652,6,0.005790353821026439,4
sc_max_release_speed_roll3,0.005511383122293467,7,0.004685761993028281,5
opp_lineup_k_rate_prior,0.00523941355658859,8,0.0013202461303928326,14
opp_lineup_weighted_k_rate_vs_starter_hand_prior,0.003418009980794068,9,0.0007044517712413878,23
p_k_rate_career_prior,0.002968311754032871,10,0.0023345483499053856,7
opp_batting_k_rate_roll5,0.002885183146829795,11,0.000755901113415458,22
p_pitch_load_28d,0.002872922740053596,12,0.0021263902736097682,10
opp_batting_k_rate_prior,0.00237274189883403,13,-0.0007038707595255378,404
opp_lineup_k_rate_vs_starter_hand_prior,0.0022241499091119276,14,0.00012054949115962721,109
opp_batting_k_rate_roll20,0.002006814219796893,15,0.0023238338084161426,8
opp_lineup_top6_k_rate_vs_starter_hand_prior,0.0013884956747367782,16,-0.00028360547221657485,388
p_strikeouts_roll5,0.0013174221486309534,17,0.0011129952920244878,17
opp_lineup_batter_pa_avg_prior,0.0012192228891465095,18,-0.0003016813880596603,391
opp_pitcher_strikeouts_roll3,0.0012061872167007381,19,0.0008722518514033828,20
p_hits_allowed_std_roll20,0.0009293193127825949,20,-0.0005676302140173118,403
venue_strikeouts_roll20,0.0008652933724866196,21,9.643738019706749e-05,129
p_contact_rate_career,0.0008448312604076413,22,0.0008409105855072152,21
venue_hits_allowed_roll10,0.0007999152291499056,23,-0.0001233279679641708,356
p_strikeouts_std_roll20,0.0007813371901022936,24,0.00029324978287075253,55
umpire_csr_excess_prior,0.0007650367400116708,25,-0.0003561506712095319,395
opp_batting_hit_rate_roll5,0.0007520089430214316,26,-0.00027043880098900355,387
p_fip_no_hr_career,0.0007025288109130168,27,2.1792592135727594e-05,202
opp_lineup_weighted_hit_rate_prior,0.0006487839103562987,28,-0.000849618507550165,405
wind_speed_mph,0.0006129496278531432,29,0.00036450772932592466,48
p_batters_faced_std_roll3,0.0005903575232049541,30,0.0006858535070821903,25
p_strikes_roll5,0.0005708881668866628,31,6.471226574638056e-05,155
league_k_rate_roll20,0.0005118389547470681,32,9.413931357775685e-05,130
opp_lineup_right_batters_from_batters,0.0004839005807660168,33,0.0006274095843566308,29
p_k_rate_roll20,0.00046632548385634466,34,0.001441804911360034,13
venue_walks_roll10,0.00045841421388228556,35,-0.00010940992916255165,352
opp_batting_k_rate_roll10,0.0004522660613608176,36,0.00018774148385893862,76
p_contact_rate_roll5,0.00044392999216227305,37,-0.0002017151606608092,381
p_strikeouts_roll10,0.00039943652134664107,38,0.0019060660214014423,12
sc_csw_rate_roll10,0.0003916586476299333,39,0.0005640782845909298,31
p_pitches_std_roll10,0.00038253470699451954,40,-0.0002947153998238639,390
p_strikes_std_roll5,0.0003647014960332706,41,0.00012735832768098198,105
opp_lineup_bottom3_k_rate_vs_starter_hand_prior,0.00034539124322281457,42,1.3526248133710616e-05,207
opp_pitcher_hits_allowed_roll20,0.00034179423592741733,43,1.764108572024359e-05,205
p_low_pitch_rate_under80_career_prior,0.000340760937814788,44,-1.3943969216811958e-05,266
p_workload_pct,0.00033321440310407624,45,-0.0003958212621225421,398
venue_walks_roll3,0.0003286683146539682,46,-0.0002674370048895591,385
p_strike_rate_roll10,0.00032238622526041815,47,-1.6574888546161403e-05,268
opp_lineup_hit_rate_prior,0.00031020435416757587,48,-3.062653591987541e-05,286
opp_batting_pa_roll5,0.00030853623518669606,49,-4.037124874438636e-05,300
sc_called_strike_rate_roll20,0.00029952445360157396,50,-8.040642574977941e-05,328
opp_lineup_confirmed_starters,0.00029836553350217623,51,0.0005455366039309739,35
p_pitches_max_roll10,0.00029744412614838287,52,2.1153169391796568e-05,203
p_high_pitch_rate_100_career_prior,0.00029611101917308423,53,0.0002849198487663296,56
p_batters_faced_roll3,0.00029569250517631486,54,-0.00010350618874952478,348
opp_batting_pa_roll10,0.0002859288903252821,55,-0.00034672366168613243,394
umpire_csr_avg_prior,0.00028444874802684427,56,-0.0013347905198437093,407
opp_lineup_switch_batters_from_batters,0.0002746743097352455,57,0.0005204633690383265,36
pitcher_ip_ytd,0.0002684404204013946,58,0.00013803258130351548,101
opp_batting_hit_rate_roll20,0.0002632696224519115,59,0.00015445337285200367,90
p_k_minus_bb_roll20,0.00025756872236952776,60,0.001319652065951038,15
opp_batting_hits_roll3,0.00025267769549885966,61,-8.530093367995484e-05,337
p_pitches_max_roll20,0.00024337525370232704,62,0.00038778101591694367,46
p_walks_roll20,0.00023951585723887004,63,5.605989334351857e-05,160
sc_max_release_speed_roll10,0.0002370125946399737,64,0.0006383364754366961,27
p_k_rate_roll5,0.0002364743192587282,65,0.00045696204627203584,40
p_hits_allowed_career_avg_prior,0.00023621261054609377,66,0.00010027755922226156,124
n_missing_feats,0.00022763940260972504,67,3.3191278674915556e-05,190
umpire_hits_allowed_roll3,0.00022446619553782022,68,8.12037983874303e-05,141
sc_statcast_pitches_roll20,0.0002233293002072978,69,-6.049254341422561e-06,256
