ledger,side,n,roi,roi_lo90,roi_hi90,clv_mean_pp,clv_pos_pct
2025 T-4h raw8pp,all,1352,0.1346,0.0851,0.1833,0.8,0.589
2025 T-4h raw8pp,over,1173,0.1418,0.0889,0.1934,0.81,0.582
2025 T-4h raw8pp,under,179,0.0879,-0.0302,0.2026,0.78,0.631
2025 T-12h LCB,all,693,0.1512,0.0864,0.2168,1.4,0.665
2025 T-12h LCB,over,614,0.1333,0.0661,0.2015,1.2,0.647
2025 T-12h LCB,under,79,0.2906,0.1223,0.4553,2.99,0.81
2026 T-4h H0 raw8pp,all,694,0.0261,-0.0367,0.0855,0.25,0.51
2026 T-4h H0 raw8pp,over,568,0.0252,-0.0456,0.0935,0.18,0.5
2026 T-4h H0 raw8pp,under,126,0.0301,-0.1219,0.1645,0.57,0.556
2026 T-4h H3 raw8pp,all,717,0.0289,-0.0286,0.0882,0.24,0.502
2026 T-4h H3 raw8pp,over,578,0.0173,-0.0467,0.0823,0.15,0.491
2026 T-4h H3 raw8pp,under,139,0.0772,-0.0671,0.2133,0.59,0.547
2026 T-12h H0 raw8pp,all,629,0.036,-0.0249,0.0979,0.33,0.529
2026 T-12h H0 raw8pp,over,514,0.0329,-0.0384,0.0999,0.21,0.518
2026 T-12h H0 raw8pp,under,115,0.0502,-0.1031,0.1815,0.86,0.583
2026 T-12h LCB,all,401,0.0631,-0.0159,0.1381,0.48,0.556
2026 T-12h LCB,over,344,0.0367,-0.0443,0.1215,0.35,0.541
2026 T-12h LCB,under,57,0.2227,0.0547,0.384,1.28,0.649
