date,pitcher,side,proj,gap,edge,odds,actual,won,pnl,clv
2025-09-28,Lance McCullers Jr.,over 3.5,5.71,2.21,60.9,132,4,True,132.0,28.89
2025-09-28,Cole Ragans,under 6.5,5.95,0.55,16.1,100,8,False,-100.0,0.0
2025-09-28,JP Sears,over 3.5,4.1,0.6,20.1,121,4,True,121.0,13.2
2025-09-27,Justin Verlander,over 5.5,7.18,1.68,16.4,-114,7,True,88.0,1.21
2025-09-27,Ranger Suarez,over 5.5,7.36,1.86,20.0,-112,4,False,-100.0,2.85
2025-09-27,Keider Montero,over 3.5,4.06,0.56,16.8,117,7,True,117.0,3.33
2025-09-27,Mick Abel,under 3.5,2.23,1.27,58.8,123,9,False,-100.0,2.29
2025-09-26,Adrian Houser,over 3.5,3.97,0.47,17.7,123,5,True,123.0,1.83
2025-09-26,Aaron Nola,over 6.5,7.14,0.64,19.5,126,9,True,126.0,
2025-09-24,Jack Flaherty,over 5.5,6.5,1.0,25.5,122,6,True,122.0,0.45
2025-09-24,Hunter Greene,under 7.5,6.21,1.29,39.3,118,7,True,118.0,7.92
2025-09-24,Andrew Alvarez,over 3.5,3.92,0.42,19.3,129,5,True,129.0,0.0
2025-09-23,Tarik Skubal,under 7.5,6.34,1.16,34.4,114,8,False,-100.0,-0.47
2025-09-23,Kevin Gausman,under 5.5,5.32,0.18,23.4,125,7,False,-100.0,-0.88
2025-09-23,Dean Kremer,under 4.5,4.46,0.04,15.7,116,4,True,116.0,0.0
2025-09-22,MacKenzie Gore,under 4.5,3.75,0.75,24.2,100,3,True,100.0,1.48
2025-09-22,Chris Sale,under 8.5,6.48,2.02,29.4,-113,6,True,88.0,-3.01
2025-09-21,Connelly Early,under 5.5,5.31,0.19,19.7,118,4,True,118.0,
2025-09-20,Bubba Chandler,under 4.5,4.01,0.49,28.6,118,6,False,-100.0,0.93
2025-09-20,Javier Assad,over 3.5,4.18,0.68,21.1,119,2,False,-100.0,0.0
2025-09-19,Max Scherzer,under 4.5,4.01,0.49,17.4,-101,2,True,99.0,7.72
2025-09-19,Nick Lodolo,under 4.5,4.73,0.23,15.1,128,7,False,-100.0,
2025-09-19,Bryce Elder,over 4.5,5.69,1.19,15.8,-105,6,True,95.0,-4.3
2025-09-18,Colin Rea,over 4.5,4.95,0.45,16.5,124,11,True,124.0,
2025-09-18,Jonah Tong,under 4.5,3.75,0.75,18.7,-110,8,False,-100.0,-2.67
2025-09-18,Sandy Alcantara,over 5.5,6.96,1.46,25.5,108,8,True,108.0,2.97
2025-09-18,Luis Castillo,over 4.5,4.72,0.22,15.7,134,3,False,-100.0,4.0
2025-09-18,Tanner Bibee,over 5.5,6.49,0.99,16.9,107,8,True,107.0,1.97
2025-09-18,Chris Bassitt,over 5.5,6.58,1.08,16.3,103,3,False,-100.0,4.93
2025-09-17,David Peterson,under 4.5,3.45,1.05,21.6,-118,1,True,85.0,1.53
2025-09-17,Cole Ragans,under 5.5,4.48,1.02,30.8,105,4,True,105.0,3.51
2025-09-17,Johan Oviedo,under 4.5,3.56,0.94,20.5,-115,3,True,87.0,4.6
2025-09-17,Nick Pivetta,under 5.5,4.78,0.72,21.1,100,5,True,100.0,-1.48
2025-09-16,Caden Dana,under 3.5,3.37,0.13,22.3,122,4,False,-100.0,0.45
2025-09-16,Chris Sale,under 8.5,6.64,1.86,28.8,-110,9,False,-100.0,0.86
2025-09-16,Logan Gilbert,under 5.5,4.19,1.31,37.6,106,5,True,106.0,4.52
2025-09-15,Kyle Bradish,over 5.5,6.08,0.58,18.2,124,9,True,124.0,1.36
2025-09-14,Cade Cavalli,under 4.5,4.27,0.23,23.3,121,2,True,121.0,8.33
2025-09-14,Tyler Glasnow,under 6.5,6.01,0.49,22.5,113,4,True,113.0,4.93
2025-09-14,Nick Lodolo,under 5.5,4.97,0.53,21.7,108,5,True,108.0,5.03
2025-09-13,Hunter Brown,under 5.5,4.69,0.81,18.0,-109,2,True,92.0,9.1
2025-09-13,Charlie Morton,under 5.5,3.91,1.59,31.4,-113,4,True,88.0,5.09
2025-09-13,Brandon Sproat,over 4.5,6.18,1.68,23.9,-105,3,False,-100.0,-1.9
2025-09-13,Joe Ryan,under 5.5,5.39,0.11,18.5,119,4,True,119.0,-3.1
2025-09-13,Bubba Chandler,under 4.5,3.52,0.98,16.4,-126,7,False,-100.0,2.05
2025-09-13,Parker Messick,under 4.5,4.12,0.38,23.9,115,4,True,115.0,1.9
2025-09-13,Ryne Nelson,under 4.5,4.55,0.05,16.7,122,4,True,122.0,0.0
2025-09-12,Tarik Skubal,under 7.5,5.97,1.53,30.0,-103,2,True,97.0,0.0
2025-09-12,Jonah Tong,under 5.5,4.92,0.58,23.9,110,1,True,110.0,-0.94
2025-09-11,David Peterson,over 5.5,6.33,0.83,16.7,112,8,True,112.0,10.56
2025-09-11,MacKenzie Gore,over 4.5,5.93,1.43,19.4,-106,4,False,-100.0,6.4
2025-09-11,Shane Smith,over 4.5,6.61,2.11,16.4,-134,4,False,-100.0,
2025-09-10,Chris Sale,under 6.5,5.77,0.73,29.7,117,9,False,-100.0,0.46
2025-09-10,Freddy Peralta,under 5.5,5.6,0.1,15.7,123,9,False,-100.0,0.0
2025-09-08,Shota Imanaga,under 4.5,3.84,0.66,16.4,-110,4,True,91.0,7.91
2025-09-08,Nolan McLean,under 5.5,3.73,1.77,22.6,-140,5,True,71.0,-4.76
2025-09-08,Cade Cavalli,under 4.5,3.11,1.39,18.1,-145,1,True,69.0,5.2
2025-09-07,Hunter Greene,under 6.5,5.56,0.94,23.6,100,12,False,-100.0,0.0
2025-09-07,Ryne Nelson,under 4.5,4.34,0.16,15.4,110,3,True,110.0,7.56
2025-09-07,Dylan Cease,under 7.5,5.4,2.1,16.4,-155,5,True,65.0,-2.63
2025-09-07,Sonny Gray,under 5.5,5.01,0.49,19.1,105,6,False,-100.0,5.0
2025-09-06,Shane Baz,under 5.5,4.7,0.8,20.0,-105,8,False,-100.0,0.0
2025-09-06,Tarik Skubal,under 7.5,6.69,0.81,28.4,115,6,True,115.0,
2025-09-06,Trevor Rogers,under 4.5,4.34,0.16,21.0,120,6,False,-100.0,0.0
2025-09-05,Logan Gilbert,under 5.5,4.41,1.09,45.1,125,7,False,-100.0,0.0
2025-09-05,Chris Sale,under 8.5,6.04,2.46,19.8,-150,9,False,-100.0,-5.8
2025-09-04,Kyle Hendricks,over 2.5,4.05,1.55,36.2,105,0,False,-100.0,7.38
2025-09-04,Paul Skenes,under 6.5,5.82,0.68,21.4,105,8,False,-100.0,-2.38
2025-09-03,Jack Leiter,under 4.5,4.57,0.07,17.7,125,8,False,-100.0,7.14
2025-09-02,Nolan McLean,under 5.5,4.39,1.11,35.9,110,7,False,-100.0,-4.55
2025-09-02,Bryan Woo,under 5.5,4.92,0.58,24.1,110,3,True,110.0,2.44
2025-09-02,Cade Cavalli,under 4.5,3.25,1.25,22.8,-125,6,False,-100.0,1.74
2025-09-02,Sawyer Gipson-Long,over 3.5,4.16,0.66,15.6,110,3,False,-100.0,0.0
2025-09-02,Luis Severino,over 3.5,4.39,0.89,26.7,120,4,True,120.0,7.32
2025-09-02,Joey Wentz,under 3.5,2.91,0.59,20.3,-105,8,False,-100.0,-4.76
2025-09-01,Spencer Strider,under 5.5,5.13,0.37,22.2,115,1,True,115.0,0.0
2025-09-01,Shane Baz,under 5.5,5.3,0.2,15.6,110,6,False,-100.0,
2025-09-01,Dylan Cease,under 7.5,6.44,1.06,30.1,110,7,True,110.0,2.44
2025-09-01,Luis Castillo,under 4.5,4.23,0.27,24.0,120,5,False,-100.0,10.0
2025-09-01,Yusei Kikuchi,under 4.5,4.36,0.14,20.5,120,6,False,-100.0,4.76
2025-08-31,Tanner Bibee,over 5.5,6.07,0.57,18.4,125,4,False,-100.0,4.65
2025-08-31,Tomoyuki Sugano,over 3.5,4.56,1.06,16.0,-105,4,True,95.0,2.27
2025-08-31,Tarik Skubal,under 6.5,6.05,0.45,25.5,120,4,True,120.0,
2025-08-30,David Peterson,under 5.5,4.34,1.16,30.5,100,1,True,100.0,4.76
2025-08-30,Logan Gilbert,under 6.5,5.46,1.04,28.6,105,6,True,105.0,-2.38
2025-08-30,Nick Pivetta,under 6.5,5.18,1.32,15.7,-130,6,True,77.0,0.0
2025-08-29,Jonah Tong,under 5.5,4.36,1.14,46.5,125,6,False,-100.0,
2025-08-29,Paul Skenes,under 6.5,5.36,1.14,30.5,105,6,True,105.0,5.0
2025-08-28,Aaron Nola,under 5.5,4.54,0.96,23.2,-105,4,True,95.0,0.0
2025-08-28,Clay Holmes,under 3.5,3.49,0.01,20.3,125,2,True,125.0,
2025-08-27,Carmen Mlodzinski,over 2.5,3.44,0.94,40.7,135,4,True,135.0,-4.08
2025-08-27,Max Fried,under 6.5,6.07,0.43,19.4,110,6,True,110.0,12.33
2025-08-27,Cade Cavalli,under 4.5,4.11,0.39,21.4,110,4,True,110.0,7.56
2025-08-26,Luis Gil,over 5.5,6.5,1.0,21.7,115,5,False,-100.0,12.62
2025-08-26,Michael Lorenzen,over 4.5,5.38,0.88,18.5,110,6,True,110.0,2.44
2025-08-25,Joe Ryan,under 4.5,4.2,0.3,30.2,130,7,False,-100.0,
2025-08-25,Kodai Senga,under 4.5,4.47,0.03,22.9,130,4,True,130.0,2.22
2025-08-25,Spencer Strider,under 5.5,5.46,0.04,17.5,120,3,True,120.0,
2025-08-25,Brandon Woodruff,under 6.5,5.09,1.41,21.5,-120,8,False,-100.0,3.62
2025-08-24,Paul Skenes,under 7.5,5.86,1.64,47.1,120,7,True,120.0,0.0
2025-08-24,Trevor Rogers,under 4.5,3.9,0.6,17.8,-105,9,False,-100.0,-4.76
2025-08-24,Brady Singer,under 4.5,4.24,0.26,18.0,110,9,False,-100.0,10.0
2025-08-24,Logan Gilbert,under 6.5,5.98,0.52,21.3,110,13,False,-100.0,0.0
2025-08-24,Kyle Hendricks,over 3.5,3.75,0.25,17.4,135,2,False,-100.0,
2025-08-24,David Peterson,under 4.5,3.82,0.68,17.1,-110,8,False,-100.0,-4.55
2025-08-24,Nick Pivetta,under 5.5,4.98,0.52,19.7,105,7,False,-100.0,
2025-08-23,Garrett Crochet,under 7.5,6.24,1.26,24.3,-105,11,False,-100.0,-2.38
2025-08-23,Aaron Nola,under 5.5,4.7,0.8,22.8,100,6,False,-100.0,13.04
2025-08-23,Freddy Peralta,under 6.5,5.22,1.28,21.6,-115,6,True,87.0,3.86
2025-08-23,Clay Holmes,under 3.5,3.41,0.09,17.3,115,4,False,-100.0,4.88
2025-08-22,Zebby Matthews,under 5.5,4.58,0.92,25.4,100,4,True,100.0,-11.11
2025-08-22,Cade Povich,under 4.5,4.19,0.31,22.1,115,5,False,-100.0,0.0
2025-08-21,Sean Manaea,under 5.5,5.13,0.37,16.5,105,8,False,-100.0,
2025-08-21,Dylan Cease,under 6.5,5.14,1.36,38.1,110,7,False,-100.0,
2025-08-20,Johan Oviedo,over 3.5,4.39,0.89,23.9,115,6,True,115.0,30.69
2025-08-20,Charlie Morton,over 5.5,6.77,1.27,26.4,115,8,True,115.0,-2.27
2025-08-19,Walker Buehler,over 4.5,5.35,0.85,20.6,115,4,False,-100.0,-4.44
2025-08-19,Joe Ryan,under 6.5,6.29,0.21,15.0,110,6,True,110.0,7.56
2025-08-18,Freddy Peralta,under 5.5,4.88,0.62,19.0,100,6,False,-100.0,-4.76
2025-08-17,Garrett Crochet,under 7.5,5.85,1.65,20.6,-125,8,False,-100.0,1.74
2025-08-17,Tyler Glasnow,under 5.5,4.7,0.8,19.9,-105,8,False,-100.0,-4.76
2025-08-16,Sean Burke,under 3.5,3.33,0.17,19.7,115,3,True,115.0,4.88
2025-08-16,Zebby Matthews,under 5.5,4.56,0.94,25.8,100,6,False,-100.0,-4.76
2025-08-15,Zack Wheeler,under 7.5,6.11,1.39,23.7,-110,6,True,91.0,4.13
2025-08-15,Chris Bassitt,under 4.5,4.04,0.46,28.8,120,4,True,120.0,0.0
2025-08-15,MacKenzie Gore,under 6.5,5.18,1.32,34.0,105,7,False,-100.0,2.5
2025-08-15,Lucas Giolito,under 4.5,4.3,0.2,24.9,125,5,False,-100.0,4.65
2025-08-14,Max Scherzer,under 5.5,4.41,1.09,23.2,-110,3,True,91.0,-6.87
2025-08-13,Seth Lugo,under 4.5,4.56,0.06,15.4,120,2,True,120.0,0.0
